mesto2016;mesto2015;Reyt_funcz;Yslov_educ;Yslov_job;Yslov_science;University
1;1;4,59;1;2;1;1
2;2;4,46;3;3;3;2
3;3;4,24;7;6;2;3
4;4;4,08;10;1;14;4
5;6;4,07;5;12;6;5
6;5;4,07;6;7;15;6
7;8;4,03;2;13;36;7
8;7;4;4;20;4;8
9;9;3,91;8;14;10;9
10;10;3,82;22;4;7;10
11;11;3,82;14;10;8;11
12;12;3,6;9;11;35;12
13;13;3,6;19;21;5;13
14;15;3,59;12;9;41;14
15;14;3,58;24;8;13;15
16;16;3,54;20;5;33;16
17;18;3,53;16;31;9;17
18;17;3,49;11;41;17;18
19;22;3,44;13;40;12;19
20;19;3,4;18;18;23;20
21;21;3,39;15;33;20;21
22;24;3,21;28;17;27;22
23;25;3,2;17;28;44;23
24;20;3,16;29;19;19;24
25;23;3,08;25;16;55;25
26;27;2,95;41;15;18;26
27;-;2,94;26;37;39;27
28;32;2,9;31;63;16;28
29;34;2,81;23;46;84;29
30;35;2,7;21;58;127;30
31;29;2,7;37;78;11;31
32;31;2,67;33;27;73;32
33;-;2,66;30;30;63;33
34;30;2,65;36;32;42;34
35;28;2,64;42;22;45;35
36;26;2,63;32;76;29;36
37;39;2,63;34;67;24;37
38;41;2,55;38;23;95;38
39;37;2,53;44;25;59;39
40;42;2,5;35;75;38;40
41;33;2,5;27;117;67;41
42;40;2,46;45;74;22;42
43;36;2,37;65;47;25;43
44;44;2,34;40;108;26;44
45;58;2,32;39;80;62;45
46;46;2,29;47;42;91;46
47;57;2,28;48;62;53;47
48;47;2,28;67;24;76;48
49;56;2,23;63;26;108;49
50;43;2,21;43;127;28;50
51;49;2,2;56;38;92;51
52;54;2,2;76;29;66;52
53;60;2,2;58;51;56;53
54;62;2,18;64;65;40;54
55;63;2,17;51;68;52;55
56;66;2,15;62;50;69;56
57;48;2,13;50;88;47;57
58;77;2,13;73;35;89;58
59;72;2,11;59;91;31;59
60;50;2,1;49;96;43;60
61;69;2,08;68;52;72;61
62;55;2,08;55;55;97;62
63;53;2,08;89;60;30;63
64;70;2,04;77;48;75;64
65;-;2,02;46;110;85;65
66;71;2,02;74;66;60;66
67;61;2,02;54;129;34;67
68;79;2,01;84;120;21;68
69;78;2,01;52;95;64;69
70;74;1,99;72;36;140;70
71;45;1,99;90;56;51;71
72;68;1,98;78;54;79;72
73;80;1,96;61;59;129;73
74;65;1,96;101;70;32;74
75;84;1,95;91;49;70;75
76;67;1,95;121;34;71;76
77;-;1,94;104;39;87;77
78;86;1,93;71;73;82;78
79;-;1,93;70;57;111;79
80;59;1,93;57;131;49;80
81;90;1,89;87;53;98;81
82;92;1,88;82;83;65;82
83;82;1,85;93;43;130;83
