x1;x2;x3;x4;x5;z1;z2;t1;t2;t3;t4;y
;;2297;1778;519;70.7;86;48.8;1165;402;4701;170
;;2307;1785;522;81.7;77;49.5;1077;347;4205;189.3
;;2299;1718;518;95.7;73;48.9;1136;313;3686;260.43
226.8;129;2285;1769;516;120.1;70;47.9;913;279;2946;269.12
540.1;361;2266;1749;517;139.5;84;51.2;859;261;2923;349.13
730.4;468;2242;1734;508;153.5;67;50.8;756;283;3186;356.89
843;502;2217;1720;497;183.2;66;51.5;654;263;2933;359.41
921.2;577;2192;1702;490;191;61;52.1;626;232;2619;391.6
1356.4;976;2167;1685;482;210.9;58;53;641;263;3081;499.88
1799.8;1285;2141;1664;477;205.4;57;53.1;631;267;2980;557.91
2367.2;2065;2120;1648;472;187.7;55;53.2;638;352;4117;538.5
3122.4;2603;2071;1622;449;170.9;48;53.8;575;301;2768;544.77
4249;2924;2067;1620;447;187.1;39;53.9;562;303;2824;527.645
5418.6;3259;2051;1608;443;189.2;32;53;501;256;2485;510.52
7162.9;3860;2036;1534;502;197.3;24;53.1;501;260;2698;640.17
9109.5;4359;2007;1519;488;197.1;23;52.9;495;237;2501;675.27
10894.4;4929;1989;1508;481;233.5;23;52.2;498;277;2353;721.35
12927.3;5850;1977;1498;479;267.8;23;52;539.18;243.2;2293.3;714.53
15485.6;6382;1970;1495;475;278;19;52.6;640.89;226.1;2184.2;823.32
17298;6699;1965;1493;472;304.2;19;52.7;492.73;232.8;2134.8;852.5
19160;7240;1953;1487;466;281.3;24;56.1;467.99;224.9;2150;823.88
21679;7700;1951;1489;462;346.7;30;55.1;491.39;208.7;1990.73;888.09
23759;9395;1947;1490;457;369.6;102;52;430.98;180.9;1734.8;910.72
27479;10321;1938;1487;451;382.3;89;52.3;418.9;189.5;1718.8;706.83
31072;12490;1933;1486;447;388.8;76;50;382.71;192.9;1838.3;836.1
32446;12616;1929;1486;443;400.2;89;49.7;671;186.2;1917;833.1
32269;12408;1923;1483;440;;;50.5;575.7;180.7;2086.5;
34619;12454;1913;1477;436;;;;;;;
;;1902718;147250;430268;;;;;;;
