Date;Gold;Dollar 
01.01.2020;3031.25;61.9057
10.01.2020;3047.28;61.234
11.01.2020;3050.6;61.2632
14.01.2020;3037.92;60.9474
15.01.2020;3050.51;61.414
16.01.2020;3065.17;61.4328
17.01.2020;3078.52;61.5694
18.01.2020;3079.29;61.5333
21.01.2020;3081.32;61.4654
22.01.2020;3094.9;61.8552
23.01.2020;3097.53;61.8343
24.01.2020;3095.33;61.9515
25.01.2020;3103.42;61.8031
28.01.2020;3173.57;62.338
29.01.2020;3190.83;62.8299
30.01.2020;3151.82;62.3934
31.01.2020;3202.92;63.0359
01.02.2020;3209.04;63.1385
04.02.2020;3244.1;63.9091
05.02.2020;3204.39;63.4342
06.02.2020;3152.67;63.1742
07.02.2020;3159.22;62.7977
08.02.2020;3200.38;63.472
11.02.2020;3227.24;63.7708
12.02.2020;3223.2;63.949
13.02.2020;3175.81;63.047
14.02.2020;3220.62;63.6016
15.02.2020;3215.88;63.4536
18.02.2020;3216.56;63.3085
19.02.2020;3256.2;63.7698
20.02.2020;3295.6;63.6873
21.02.2020;3300.14;63.7413
22.02.2020;3377.38;64.3008
26.02.2020;3456.3;64.9213
27.02.2020;3471.31;65.5177
28.02.2020;3473.34;65.6097
29.02.2020;3502.84;66.9909
03.03.2020;3432.64;66.3274
04.03.2020;3415.91;66.4437
05.03.2020;3494.33;66.0784
06.03.2020;3505.62;66.1854
07.03.2020;3662.03;67.5175
11.03.2020;3837.74;72.0208
12.03.2020;3820.22;71.472
13.03.2020;3895.28;74.0274
14.03.2020;3737;73.1882
17.03.2020;3585.9;74.1262
18.03.2020;3497.72;73.8896
19.03.2020;3738.58;77.2131
20.03.2020;3815.92;80.157
21.03.2020;3774.94;78.0443
24.03.2020;3886.3;80.8815
25.03.2020;4054.83;78.8493
26.03.2020;4054.15;77.7928
27.03.2020;4100.44;78.7223
28.03.2020;4051.63;77.7325
07.04.2020;4020.39;76.4074
08.04.2020;4008.13;75.455
09.04.2020;4016.12;75.7499
10.04.2020;3987.68;74.605
11.04.2020;3985.1;73.7515
14.04.2020;3972.83;73.5245
15.04.2020;4044.48;73.315
16.04.2020;4057.99;73.7145
17.04.2020;4126.35;74.7119
18.04.2020;4025.22;73.9441
